bidirectional_duration_ms,bidirectional_packets,bidirectional_bytes,src2dst_packets,src2dst_bytes,dst2src_packets,dst2src_bytes,bidirectional_min_ps,bidirectional_mean_ps,bidirectional_stddev_ps,bidirectional_max_ps,bidirectional_mean_piat_ms,bidirectional_stddev_piat_ms,bidirectional_min_piat_ms,bidirectional_max_piat_ms,bidirectional_syn_packets,bidirectional_ack_packets,bidirectional_rst_packets,bidirectional_fin_packets,bidirectional_psh_packets
1242.0,9,2587,5.3999999999999995,1552.2,3.6,1034.8,143.72,287.44,57.488,431.15999999999997,138.0,41.4,0.1,1242.0,1,8,0,1,4
1.0,2,318,1.2,190.79999999999998,0.8,127.2,79.5,159.0,31.8,238.5,0.5,0.15,0.1,1.0,0,1,0,0,1
1093.0,8,2463,4.8,1477.8,3.2,985.2,153.94,307.88,61.576,461.82,136.625,40.9875,0.1,1093.0,1,7,0,1,4
1.0,1,198,0.6,118.8,0.4,79.2,99.0,198.0,39.6,297.0,1.0,0.3,0.1,1.0,0,0,0,0,0
859.0,13,2942,7.8,1765.2,5.2,1176.8,113.155,226.31,45.262,339.46500000000003,66.07692307692308,19.823076923076922,0.1,859.0,1,12,0,1,6
914.0,12,5344,7.199999999999999,3206.4,4.800000000000001,2137.6,222.665,445.33,89.066,667.995,76.16666666666667,22.85,0.1,914.0,1,11,0,1,6
6989.0,14,4636,8.4,2781.6,5.6000000000000005,1854.4,165.57,331.14,66.228,496.71,499.2142857142857,149.7642857142857,0.1,6989.0,1,13,0,1,7
11590.0,19,3192,11.4,1915.1999999999998,7.6000000000000005,1276.8000000000002,84.0,168.0,33.6,252.0,610.0,183.0,0.1,11590.0,1,18,0,1,9
11673.0,18,3138,10.799999999999999,1882.8,7.2,1255.2,87.165,174.33,34.86600000000001,261.495,648.5,194.54999999999998,0.1,11673.0,1,17,0,1,9
11884.0,18,3138,10.799999999999999,1882.8,7.2,1255.2,87.165,174.33,34.86600000000001,261.495,660.2222222222222,198.06666666666663,0.1,11884.0,1,17,0,1,9
10346.0,19,3186,11.4,1911.6,7.6000000000000005,1274.4,83.84,167.68,33.536,251.52,544.5263157894736,163.3578947368421,0.1,10346.0,1,18,0,1,9
10333.0,23,5446,13.799999999999999,3267.6,9.200000000000001,2178.4,118.39,236.78,47.356,355.17,449.2608695652174,134.7782608695652,0.1,10333.0,1,22,0,1,11
10271.0,24,5500,14.399999999999999,3300.0,9.600000000000001,2200.0,114.585,229.17,45.834,343.755,427.9583333333333,128.3875,0.1,10271.0,1,23,0,1,12
10302.0,23,5446,13.799999999999999,3267.6,9.200000000000001,2178.4,118.39,236.78,47.356,355.17,447.9130434782609,134.37391304347827,0.1,10302.0,1,22,0,1,11
9883.0,15,6727,9.0,4036.2,6.0,2690.8,224.235,448.47,89.69400000000002,672.705,658.8666666666667,197.66,0.1,9883.0,1,14,0,1,7
9819.0,15,6727,9.0,4036.2,6.0,2690.8,224.235,448.47,89.69400000000002,672.705,654.6,196.38,0.1,9819.0,1,14,0,1,7
9982.0,15,6726,9.0,4035.6,6.0,2690.4,224.2,448.4,89.68,672.5999999999999,665.4666666666667,199.64000000000001,0.1,9982.0,1,14,0,1,7
8269.0,15,7582,9.0,4549.2,6.0,3032.8,252.735,505.47,101.09400000000001,758.205,551.2666666666667,165.38,0.1,8269.0,1,14,0,1,7
9581.0,23,5319,13.799999999999999,3191.4,9.200000000000001,2127.6,115.63,231.26,46.252,346.89,416.5652173913044,124.9695652173913,0.1,9581.0,1,22,0,1,11
8122.0,20,7629,12.0,4577.4,8.0,3051.6000000000004,190.725,381.45,76.29,572.175,406.1,121.83,0.1,8122.0,1,19,0,1,10
7636.0,21,7684,12.6,4610.4,8.4,3073.6000000000004,182.95,365.9,73.17999999999999,548.8499999999999,363.6190476190476,109.08571428571427,0.1,7636.0,1,20,0,1,10
7692.0,20,7629,12.0,4577.4,8.0,3051.6000000000004,190.725,381.45,76.29,572.175,384.6,115.38,0.1,7692.0,1,19,0,1,10
11321.0,23,3448,13.799999999999999,2068.7999999999997,9.200000000000001,1379.2,74.955,149.91,29.982,224.865,492.2173913043478,147.66521739130434,0.1,11321.0,1,22,0,1,11
8392.0,17,3095,10.2,1857.0,6.800000000000001,1238.0,91.03,182.06,36.412,273.09000000000003,493.6470588235294,148.09411764705882,0.1,8392.0,1,16,0,1,8
8240.0,16,3041,9.6,1824.6,6.4,1216.4,95.03,190.06,38.012,285.09000000000003,515.0,154.5,0.1,8240.0,1,15,0,1,8
8477.0,16,3041,9.6,1824.6,6.4,1216.4,95.03,190.06,38.012,285.09000000000003,529.8125,158.94375,0.1,8477.0,1,15,0,1,8
8230.0,15,2987,9.0,1792.2,6.0,1194.8,99.565,199.13,39.826,298.695,548.6666666666666,164.6,0.1,8230.0,1,14,0,1,7
5374.0,19,3703,11.4,2221.7999999999997,7.6000000000000005,1481.2,97.445,194.89,38.978,292.335,282.8421052631579,84.85263157894737,0.1,5374.0,1,18,0,1,9
5756.0,14,4824,8.4,2894.4,5.6000000000000005,1929.6000000000001,172.285,344.57,68.914,516.855,411.14285714285717,123.34285714285714,0.1,5756.0,1,13,0,1,7
5655.0,13,4749,7.8,2849.4,5.2,1899.6000000000001,182.655,365.31,73.062,547.965,435.0,130.5,0.1,5655.0,1,12,0,1,6
4593.0,17,3064,10.2,1838.3999999999999,6.800000000000001,1225.6000000000001,90.12,180.24,36.048,270.36,270.1764705882353,81.05294117647058,0.1,4593.0,1,16,0,1,8
5999.0,14,4824,8.4,2894.4,5.6000000000000005,1929.6000000000001,172.285,344.57,68.914,516.855,428.5,128.54999999999998,0.1,5999.0,1,13,0,1,7
5900.0,14,4801,8.4,2880.6,5.6000000000000005,1920.4,171.465,342.93,68.586,514.395,421.42857142857144,126.42857142857143,0.1,5900.0,1,13,0,1,7
4933.0,16,3010,9.6,1806.0,6.4,1204.0,94.06,188.12,37.624,282.18,308.3125,92.49374999999999,0.1,4933.0,1,15,0,1,8
6960.0,14,7256,8.4,4353.599999999999,5.6000000000000005,2902.4,259.145,518.29,103.658,777.435,497.14285714285717,149.14285714285714,0.1,6960.0,1,13,0,1,7
8806.0,14,7256,8.4,4353.599999999999,5.6000000000000005,2902.4,259.145,518.29,103.658,777.435,629.0,188.7,0.1,8806.0,1,13,0,1,7
8899.0,16,3734,9.6,2240.4,6.4,1493.6000000000001,116.69,233.38,46.676,350.07,556.1875,166.85625,0.1,8899.0,1,15,0,1,8
